hora,multas,tiempos,choques,velocidades,cant_autos
0,7,544,1,81,359
1,7,670,0,81,359
2,6,670,0,81,360
3,5,671,0,81,360
4,7,670,0,81,360
5,5,670,0,81,360
6,4,672,0,81,360
7,6,663,0,79,429
8,4,689,0,79,425
9,7,689,0,79,423
10,7,688,0,79,419
11,5,699,1,81,358
12,5,672,0,81,360
13,5,669,0,81,360
14,4,671,0,81,360
15,6,670,0,81,360
16,6,668,0,79,415
17,6,682,0,79,412
18,5,690,0,79,407
19,6,686,0,79,409
20,6,695,0,81,358
21,6,672,0,81,360
22,4,669,0,81,360
23,6,671,0,101,360
